name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
@angular/animations:6.1.10,MIT,-,-,-,Javascript,-,-,-
@angular/common:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/compiler:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/core:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/forms:6.1.0,MIT,-,-,-,Javascript,-,-,http://svn.apache.org/repos/asf/tiles/framework/tags/tiles-parent-3.0.5/OGNL-LICENSE.txt
@angular/http:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/platform-browser:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/platform-browser-dynamic:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/router:6.1.0,MIT,-,-,-,Javascript,-,-,-
@fortawesome/angular-fontawesome:0.3.0,MIT,-,-,-,Javascript,-,-,-
@fortawesome/fontawesome-svg-core:1.2.8,MIT,-,-,-,Javascript,-,-,-
@fortawesome/free-solid-svg-icons:5.5.0,MIT,-,-,-,Javascript,-,-,-
@ng-bootstrap/ng-bootstrap:4.0.0,MIT,-,-,-,Javascript,-,-,-
angular2-uuid:1.1.1,MIT,-,-,-,Javascript,-,-,-
bootstrap-auto-dismiss-alert:1.0.2,MIT,-,-,-,Javascript,-,-,-
bootstrap-toggle:2.2.2,MIT,-,-,-,Javascript,-,-,-
core-js:2.5.4,MIT,-,-,-,Javascript,-,-,-
enum-values:1.2.1,MIT,-,-,-,Javascript,-,-,-
ngx-bootstrap:5.2.0,MIT,-,-,-,Javascript,-,-,-
ngx-cookie-service:3.0.4,MI,-,-,-,Javascript,-,-,-
ngx-spinner:6.1.2,MIT,-,-,-,Javascript,-,-,-
pdfmake:0.1.41,MIT,-,-,-,Javascript,-,-,-
pdfmake-wrapper:2.0.0,MIT,-,-,-,Javascript,-,-,-
primeicons:1.0.0,MIT,-,-,-,Javascript,-,-,-
primeng:6.1.6,MIT,-,-,-,Javascript,-,-,-
rxjs:6.0.0,Apache-2.0,-,-,-,Javascript,-,-,-
rxjs-compat:6.3.3,Apache-2.0,-,-,-,Javascript,-,-,-
zone.js:0.8.26,MIT,-,-,-,Javascript,-,-,-
@angular-devkit/build-angular:0.7.0,MIT,-,-,-,Javascript,-,-,-
@angular/cli:6.1.5,MIT,-,-,-,Javascript,-,-,-
@angular/compiler-cli:6.1.0,MIT,-,-,-,Javascript,-,-,-
@angular/language-service:6.1.0,MIT,-,-,-,Javascript,-,-,-
@types/jasmine:2.8.6,MIT,-,-,-,Javascript,-,-,-
@types/jasminewd2:2.0.3,MIT,-,-,-,Javascript,-,-,-
@types/node:8.9.4,MIT,-,-,-,Javascript,-,-,-
codelyzer:4.2.1,MIT,-,-,-,Javascript,-,-,-
jasmine-core:2.99.1,MIT,-,-,-,Javascript,-,-,-
jasmine-spec-reporter:4.2.1,MIT,-,-,-,Javascript,-,-,-
karma:1.7.1,MIT,-,-,-,Javascript,-,-,-
karma-chrome-launcher:2.2.0,MIT,-,-,-,Javascript,-,-,-
karma-coverage-istanbul-reporter:2.0.0,MIT,-,-,-,Javascript,-,-,http://www.opensource.org/licenses/cpl1.0.txt
karma-jasmine:1.1.1,MIT,-,-,-,Javascript,-,-,-
karma-jasmine-html-reporter:0.2.2,MIT,-,-,-,Javascript,-,-,http://www.opensource.org/licenses/cpl1.0.txt
protractor:5.4.0,MIT,-,-,-,Javascript,-,-,-
ts-node:5.0.1,MIT,-,-,-,Javascript,-,-,-
tslint:5.9.1,Apache-2.0,-,-,-,Javascript,-,-,-
typescript:2.7.2,Apache-2.0,-,-,-,Javascript,-,-,-
